0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:46 +0700] "GET /CrmApp/account/delete?id=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:46 +0700] "GET /CrmApp/account HTTP/1.1" 200 13795
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:46 +0700] "GET /CrmApp/json HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:48 +0700] "GET /CrmApp/account/delete?id=9 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:48 +0700] "GET /CrmApp/account HTTP/1.1" 200 13232
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:48 +0700] "GET /CrmApp/json HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:50 +0700] "GET /CrmApp/account/delete?id=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:50 +0700] "GET /CrmApp/account HTTP/1.1" 200 12667
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:50 +0700] "GET /CrmApp/json HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:58 +0700] "GET /CrmApp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:53:58 +0700] "GET /CrmApp/login HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:54:00 +0700] "POST /CrmApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:54:00 +0700] "GET /CrmApp/account HTTP/1.1" 200 12667
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:54:01 +0700] "GET /CrmApp/json HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [24/Jun/2019:00:54:04 +0700] "GET /CrmApp/group HTTP/1.1" 404 1090
127.0.0.1 - - [24/Jun/2019:14:56:06 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:45 +0700] "GET /CrmApp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:45 +0700] "GET /CrmApp/ HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:46 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:48 +0700] "GET /CrmApp/login HTTP/1.1" 200 2382
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:48 +0700] "GET /CrmApp/assets/css/style-default.css;jsessionid=88ABD3B028C9FF532DF327C9E6EE0EC0 HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:48 +0700] "GET /CrmApp/assets/css/style-responsive.css;jsessionid=88ABD3B028C9FF532DF327C9E6EE0EC0 HTTP/1.1" 200 27081
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:48 +0700] "GET /CrmApp/assets/plugins/bootstrap/css/bootstrap.min.css;jsessionid=88ABD3B028C9FF532DF327C9E6EE0EC0 HTTP/1.1" 200 105939
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:48 +0700] "GET /CrmApp/assets/css/style.css;jsessionid=88ABD3B028C9FF532DF327C9E6EE0EC0 HTTP/1.1" 200 92931
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:48 +0700] "GET /CrmApp/assets/css/login.css;jsessionid=88ABD3B028C9FF532DF327C9E6EE0EC0 HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:48 +0700] "GET /CrmApp/assets/plugins/font-awesome/css/font-awesome.css;jsessionid=88ABD3B028C9FF532DF327C9E6EE0EC0 HTTP/1.1" 200 27232
0:0:0:0:0:0:0:1 - - [24/Jun/2019:14:56:48 +0700] "GET /CrmApp/assets/plugins/bootstrap/css/bootstrap-responsive.min.css;jsessionid=88ABD3B028C9FF532DF327C9E6EE0EC0 HTTP/1.1" 200 16849
